tag,Count
抒情,78
悲伤,50
清新,41
幸福,34
平静,25
抑郁,8
快乐,52
爱情,59
思念,54
慵懒,37
浪漫,43
苦情,27
放松,56
憧憬,36
治愈,38
孤独,24
轻快,41
正能量,34
遗憾,23
热血,17
动感,30
活力,20
KTV,30
洒脱,19
感人,11
大气,22
甜蜜,17
可爱,10
婚礼,8
酒吧,13
极限运动,7
有氧,3
家务,3
篮球,2
紧张,6
梦幻,7
神秘,4
学习,7
黑暗,1
夜店,5
激烈,3
亲情,1
友情,2
助眠,1
正直,1
足球,1
举铁,1
旅游,1
