tag,Count
抒情,44
动感,13
悲伤,35
抑郁,3
快乐,8
爱情,22
思念,28
浪漫,8
苦情,13
放松,13
治愈,7
孤独,17
KTV,12
酒吧,9
亲情,2
遗憾,8
感人,9
热血,5
正能量,9
幸福,1
憧憬,5
友情,2
慵懒,4
梦幻,1
活力,4
婚礼,1
甜蜜,3
可爱,1
愤怒,1
举铁,1
清新,3
轻快,2
平静,1
正直,1
激烈,1
