tag,Count
抒情,43
悲伤,24
热血,18
动感,20
爱情,18
思念,11
苦情,3
孤独,10
正能量,22
甜蜜,5
浪漫,7
放松,18
婚礼,3
治愈,11
KTV,15
憧憬,7
洒脱,8
感人,12
校园,1
正直,2
活力,8
大气,3
有氧,1
家务,1
激烈,4
快乐,8
学习,1
清新,7
幸福,1
紧张,2
梦幻,3
抑郁,2
神秘,2
轻快,6
遗憾,2
酒吧,2
亲情,1
慵懒,1
