song_id,song_name,song_url
31654343,不将就,Unknown
1293886117,年少有为,Unknown
518686034,戒烟,Unknown
1407551413,麻雀,Unknown
1997438791,乌梅子酱,Unknown
1959528822,紫荆花盛开,Unknown
27731176,模特,Unknown
133998,老街,Unknown
407450223,爸爸妈妈,Unknown
27678655,李白,Unknown
1888354230,默 (Live),Unknown
1969822728,慢冷 (Live),Unknown
1318235595,耳朵,Unknown
428375722,不说,Unknown
29710981,喜剧之王,Unknown
1900998233,对等关系,Unknown
29764562,作曲家,Unknown
29764563,不搭,Unknown
1878225963,山川,Unknown
27731174,老伴,Unknown
31134193,出卖,Unknown
1859925367,纵横四海,Unknown
1925396986,脱胎换骨,Unknown
31877243,笑忘书 (Live),Unknown
27731177,太坦白,Unknown
506092654,我看着你的时候,Unknown
1308818966,王牌冤家 (Live),Unknown
1478395345,突然好想你 (Live),Unknown
1452439191,在一起嘛好不好,Unknown
1871993457,我们好好的,Unknown
27731172,都一样,Unknown
407450218,有理想,Unknown
502242110,歌谣,Unknown
31134197,边走边唱,Unknown
29764564,自拍,Unknown
1442031605,我爱你,Unknown
1890906933,情人,Unknown
29764561,落俗,Unknown
1430224832,等着等着就老了,Unknown
31134170,小芳,Unknown
1969333373,获奖人,Unknown
1410490187,老友记,Unknown
570334069,成长之重量,Unknown
1415566662,两个普普通通小青年,Unknown
1997437579,也许是爱情,Unknown
511920347,祝你幸福,Unknown
1318234982,我知道是你,Unknown
1955946574,习惯晚睡,Unknown
1318234987,贝贝,Unknown
503206129,如果有一天 (Live),Unknown
