song_id,song_name,song_url
1842025914,这世界那么多人,Unknown
541687281,慢慢喜欢你,Unknown
25707139,一生所爱,Unknown
277382,盛夏的果实,Unknown
277759,忽然之间,Unknown
276936,阴天,Unknown
277822,电台情歌,Unknown
276904,外面的世界,Unknown
277111,如果没有你,Unknown
1440802870,呼吸有害,Unknown
276995,他不爱我,Unknown
2046805446,天黑黑 (Live版),Unknown
277302,爱,Unknown
276999,广岛之恋,Unknown
277586,寂寞的恋人啊,Unknown
277789,话题,Unknown
94365,那么爱你为什么,Unknown
1390026519,只是不够爱,Unknown
1492319441,自洽,Unknown
5251209,承诺(香港版),Unknown
277686,爱情,Unknown
277367,坚强的理由,Unknown
557628382,半生缘 (我们在这里相遇),Unknown
28232266,分分钟需要你,Unknown
1848375872,初恋,Unknown
2042836597,Last Dance (Live版),Unknown
29827507,境外,Unknown
2052368104,明天会更好 (Live版),Unknown
499793180,I Do,Unknown
29827508,哪怕,Unknown
277260,真的吗,Unknown
30621954,当你老了,Unknown
2046805527,勇气 (Live版),Unknown
33668078,采红菱 (live版),Unknown
277129,手,Unknown
2052367991,归来  (Live版),Unknown
277584,十二楼,Unknown
277139,Am Pm,Unknown
276898,打起手鼓唱起歌,Unknown
33471532,瑕疵,Unknown
531040038,如初之光,Unknown
277499,冬至,Unknown
277421,北极光,Unknown
2052368818,少年 (Live版),Unknown
277299,单人房双人床,Unknown
5250816,大地之歌,Unknown
186323,偷情,Unknown
108403,两个女孩,Unknown
400075212,世间始终你好,Unknown
277763,冷,Unknown
