song_id,song_name,score,song_url,artist_name,artist_id
1911686957,放晴,100,https://p2.music.126.net/7qKSw4XfEqA7KQIs7ySjpA==/109951166927276607.jpg,宇翊,34204530
1821971882,几封情书,100,https://p2.music.126.net/Jz_PBQgLkwXerseZWB9D3g==/109951165747205905.jpg,刘楚,46916426
1353785994,爱要坦荡荡,100,https://p2.music.126.net/KxoNEXjvLssXRM32DRzZUQ==/109951163861103028.jpg,陈阳,28602303
1306683696,时间飞行（翻自 朱一龙&白宇）,100,https://p2.music.126.net/S6xJygOxbjMtu65BJJKu0A==/109951163527733666.jpg,锦零,12277185
2005776113,Unstoppable,100,https://p2.music.126.net/OhrhVOuKoVXVDqGRaymuWQ==/109951168135855964.jpg,Sia,74625
406885489,Read All About It,100,https://p2.music.126.net/Y8f_vlm09ChAbtSFld2rWg==/109951167788006787.jpg,THEO,57816455
1313591404,Let Me Down Slowly (Acoustic),100,https://p2.music.126.net/2-l6KNTqA62nLdGxSvkoZg==/109951163575046014.jpg,Beth,52412427
1456124631,IDGAF,100,https://p2.music.126.net/JN2DtBDYMTUiGdZCqo4Olw==/109951165068776007.jpg,Dua Lipa,1135086
1824886955,Girls Like You,100,https://p2.music.126.net/oiCB2aZwQrGJhWzyYlZRbA==/109951168148296761.jpg,Maroon 5,96266
406072775,Move Up (Lost Gravity),100,https://p2.music.126.net/d_SnAKbhTnN0nSuwykq6xw==/109951163400223028.jpg,Mr. Polska,1161187
1297498908,Walk Thru Fire,100,https://p1.music.126.net/SZFvPTbtIWaO2Dz1ytOeAw==/109951163433090567.jpg,Vicetone,747030
534228257,Touch,100,https://p1.music.126.net/fhGTMfI8oAcApCp-MVmmaw==/109951168437709430.jpg,3LAU,762511
500410102,Run Free,100,https://p1.music.126.net/LV_IAlM1CjvvGj8DeL75iw==/109951164372894503.jpg,Deep Chills,1063083
458725081,Where Is Your Love,100,https://p1.music.126.net/EMk0yFDMCo1mo7IoAVQtKQ==/18607035278626511.jpg,J. Lisk,12121101
1804879213,过,100,https://p1.music.126.net/fwXShM46KdIj3hB8_lJ71g==/109951165545588869.jpg,王嘉尔,1083118
1968781675,一直很安静,100,https://p1.music.126.net/d3P6hiIEDH4Gp9cApS5b3A==/109951167740623345.jpg,王贰浪,14312549
2025533834,我们的歌,100,https://p1.music.126.net/Gm2v1KrDe2TwplzxcmTxYg==/109951168428025131.jpg,刘大拿,29588305
191248,明天过后,100,https://p1.music.126.net/ixIs5kkukgNYMmeDsc35_g==/29686813955450.jpg,张杰,6472
1398283847,我只能离开,100,https://p1.music.126.net/5GPFbTQU-kW57PGv_7LeBw==/109951164440649436.jpg,颜人中,31376161
407435011,我想,100,https://p1.music.126.net/O6d7GYY3gp2uy8zehvcOjQ==/17699938184267410.jpg,余佳运,1079074
1398283847,我只能离开,100,https://p1.music.126.net/5GPFbTQU-kW57PGv_7LeBw==/109951164440649436.jpg,颜人中,31376161
1496828617,收藏,100,https://p1.music.126.net/hRHo9O6Tnm5PrL1RgA82gg==/109951165483017231.jpg,呆呆破,33426947
26387325,拉过勾的,100,https://p1.music.126.net/x-r68cAnC3yefRnibe9POg==/109951163077575462.jpg,陆虎,3793
240147,你是我的风景,100,https://p1.music.126.net/K_E-zfQQObek_XkmiJPP7g==/109951163200249554.jpg,何洁,7907
