user_name,user_url,comment
爱了香锅,http://p4.music.126.net/igBN9g_Z-SjoAy8ScOR-Ew==/109951168716860229.jpg,⠀⠀⠀⠀ ⠀『我希望正在读这句话的人永远开心』⠀⠀⠀⠀
-荒灰黄-,http://p4.music.126.net/K_SZOBaVNY-N2JRMtQSX7Q==/109951165784493754.jpg,老子要听一辈子周杰伦！！！
阿帕奇先生,http://p3.music.126.net/3Io2JPPuJOQdBjIIyGcdgw==/109951163031556933.jpg,现在还在喜欢周杰伦这类歌的人心中还未放弃追求单纯的爱情，转投陈奕迅的大多已经被现实的残酷折磨到暗自伤神了。
Jer_my,http://p3.music.126.net/CQAb35lV3GlyIX3p629M9A==/2529976255639308.jpg,那年初中，暗恋跟我一样大的学姐。然后看着她当众被表白，变成别人的女朋友。听着这歌躲在被窝里偷偷哭啊，想想真怀念那些年[可爱]
帐号已注销,http://p3.music.126.net/SUeqMM8HOIpHv9Nhl9qt9w==/109951165647004069.jpg,一段健康的感情可以让你每晚平静入睡
