artist_id,artist_name,img_url
31158685,史一,https://p1.music.126.net/WKHxR3jGADtPYs3h6fa0TQ==/109951166267904505.jpg
6452,周杰伦,https://p1.music.126.net/BbR3TuhPULMLDV0MjczI4g==/109951165793869641.jpg
6452,周杰伦,https://p1.music.126.net/BbR3TuhPULMLDV0MjczI4g==/109951165793869641.jpg
6452,周杰伦,https://p1.music.126.net/BbR3TuhPULMLDV0MjczI4g==/109951165793869641.jpg
840134,刘瑞琦,https://p2.music.126.net/FxdEWD82ltCMocBr3pHKAA==/109951164034204967.jpg
8926,莫文蔚,https://p2.music.126.net/7mh_jfVV5Zrolbas_FlJKQ==/109951168941967154.jpg
36032190,yihuik苡慧,https://p1.music.126.net/SJnVAjDS4GCSxv7-hPu5uw==/109951164831722513.jpg
6452,周杰伦,https://p1.music.126.net/BbR3TuhPULMLDV0MjczI4g==/109951165793869641.jpg
6452,周杰伦,https://p1.music.126.net/BbR3TuhPULMLDV0MjczI4g==/109951165793869641.jpg
6452,周杰伦,https://p1.music.126.net/BbR3TuhPULMLDV0MjczI4g==/109951165793869641.jpg
