user_name,user_url,comment
皮皮蟹我们冲,http://p3.music.126.net/PiikSKRCmY8JHBf_kFVPOA==/109951165870725412.jpg,我真不知道排名第一的那个评论是怎么上去的！
李荣浩,http://p4.music.126.net/MST3f1Uv77SwFyTf0Gcj5w==/109951168324499292.jpg,假如我年少有为…
zayn浩,http://p3.music.126.net/VcOdKkL-2gaUXxQhWf00zA==/109951166597536199.jpg,春娇与志明的余春娇说：因为他喜欢抽烟为了有共同话题我也去抽烟，后来他说他要戒烟了，因为他喜欢的女孩子不喜欢他抽烟。所以他戒了烟，而我却没有。
赶走那只鹿,http://p3.music.126.net/Lb4-mzNAkFczxenj8Owcww==/109951166559600676.jpg,麻雀虽小，五脏俱全眼睛虽小，可爱迷人
初默_DwI0,http://p4.music.126.net/7d13Cf_SYBIbW9zDyBBDrg==/109951167761055452.jpg,老李头，结婚后净搞这些甜甜的歌
朝暮知颖心,http://p3.music.126.net/o9eqM5kpsxf4fVXPTvrwMQ==/109951168992963381.jpg,邓爷爷，你看见了吗，紫荆花开得很茂盛，它的根也很茁壮，您放心，中华篇章永不落幕
sliro,http://p3.music.126.net/Jm4VvsBws6JAAx3eTlM9AQ==/109951162922068551.jpg,他的歌有个特点，前奏永远比副歌好听
公子翛然,http://p3.music.126.net/nN9om5NCLI7yzTpqBjFQxg==/109951163130429741.jpg,宿舍一哥们儿用这首歌作闹铃，结果全宿舍都静静地躺着把这首歌听完。。。
起名字这么累-,http://p4.music.126.net/SUeqMM8HOIpHv9Nhl9qt9w==/109951165647004069.jpg,刚好处在这个尴尬的年龄：心里会开始在关心爸妈，却不愿说出口；想多陪陪爸妈，却又无法控制自己经常去按手机玩电脑；知道爸妈想和自己说话，却不知道他们的话题要怎么接。看得到爸妈在变老心会疼，却仍不耐烦听他们过时的唠叨；但其实心里真的很爱他们，很想他们可以一直陪着我。
友麋鹿侣鱼虾,http://p3.music.126.net/WcIdu19X12_MPgOcH6zevQ==/109951163619465371.jpg,要是回古都 我要选杜甫梦回长安结个草庐 大庇天下寒儒要是回古都 我要选杜甫至少我还能写写诗来弄舞 骂骂官府要是回古都 我要选杜甫创作也能到那么高端 被那么多人记住要是能回溯
续场梦,http://p4.music.126.net/qM3VXNoWz_LqYW3JJgQkVw==/109951169062783864.jpg,你是电影后的落幕 是枯树下的情话 是黎明后的白昼 是落日前的晚霞 是我逃不出的黑暗 也是我抹不掉的记忆
-尓-,http://p4.music.126.net/PD-FgXPPE-8VpgXnBhL0MQ==/109951168988242166.jpg,为什么李荣浩唱谁的歌，都感觉是他自己的歌[开心][开心][开心]
高旻老公,http://p4.music.126.net/ukF_M6g9m1eGhjoMAo81yQ==/109951164733995059.jpg,你永远不知道我捂住耳朵的同时在竭力地寻找你的声音
云村晴天,http://p3.music.126.net/QnglYk1wAgAaKjROi-jfyA==/109951165648313906.jpg,我：李荣浩出新歌了舍友：歌名是什么我：不说
嗣灵,http://p2.music.126.net/D2Sfr7OpImj8JuFN1pkO8w==/7746059417984013.jpg,陈奕迅唱的是明星的无奈李荣浩唱的是凡人的辛酸
啊啊啊Gem,http://p4.music.126.net/u6fxFljX7kRWGnhka6orfQ==/109951167176837246.jpg,不适合成为伴侣做朋友⼤可不必
