user_name,user_url,comment
極緻溫青,http://p4.music.126.net/OBOpI10A_xK-yTaTjpfifg==/109951168935782606.jpg,别人的头发花花绿绿时，张杰的头发是黑的。别人在机场被保安包围往前走时，张杰帮星星拿着东西，边走边聊。别人穿着铆钉长靴时，张杰是匡威。别人在演唱会上说煽情的话时，张杰望着舞台下的蓝色星海笑出了皱纹。别人在休息室里等开场时，张杰买了西瓜切给等在场外的歌迷吃。这就是我最爱的歌手张小杰
Wu1990,http://p3.music.126.net/SUeqMM8HOIpHv9Nhl9qt9w==/109951165647004069.jpg,看到这个评论，顿觉老了- -
隋佳轩,http://p4.music.126.net/dJ73OTRJ7sxo2NEmYBBOHA==/2532175281081674.jpg,张杰唱的歌真好听。
rockxi,http://p3.music.126.net/fxTh_rFksykmNFjp5BYwew==/3244658816047050.jpg,这首歌很棒 这么多年后听 还是这么有感觉
重度拖延大王,http://p3.music.126.net/aCWrYRThtEPv0KQVlhbiMw==/7987951976541235.jpg,我看过后忍不住也来写评论了，看完后从电影院出来心里只有两个字“难得”，当今中国能上映这种尺度的电影，太难得；主创团队冒着过不了审，投资打水漂的风险拍摄，太难得；卖药人难，医生也难；警察难，患者也难；这操蛋的世界，没钱太难；这冷漠的世界，有情不易。
我-帅飞,http://p3.music.126.net/qbfcFrhZsW2QD04d08RaNg==/18815942488193608.jpg,那时的  美人制造  不知还有多少人记得，很喜欢的一部剧[爱心]
隐山之驭,http://p3.music.126.net/sd0KlxWiXjCI9yHyr0-uKw==/109951168969178402.jpg,古剑竟然是最后一部像样的仙侠剧😅国产仙侠基本是凉了
A阿m_,http://p4.music.126.net/IwHDJY2y9YgTTq51YAAFfQ==/109951168650767994.jpg,田馥甄唱的是失恋者的歇斯底里，简弘亦的版本大概就是一个释然的过程，赵俊的版本就更像是一种宣泄，张杰版本从开始感情的决堤，撕心裂肺，奔溃到后来从骨子里溢出来的哀伤。
阿昔不是啊昔,http://p3.music.126.net/hgkh9f7zmPOfEtuuIIPbiA==/109951168582433658.jpg,张杰的翻唱好像让本来就该满分的答卷因为字迹工整而加分了
星野real,http://p4.music.126.net/fFqXY0JDLtJwRnD_dyZlQA==/109951164761226353.jpg,高中和基友呆了三年，每次两个人晚上压操场的时候都是这首歌，跑累了就会躺在他怀里，静静的听他唱着这首歌～就这样撑过了高三美好的年华，现在很久不见了，天涯比邻，只要他好好的就好……别无所求
倘若问心有愧_,http://p3.music.126.net/c7hOeHUpCBAiGLs-gaEFKg==/109951165991248358.jpg,“为什么是三遍想见你?”  “因为愿望可以许三个，全部都是想见你……”
左慈灬,http://p4.music.126.net/ezYEHYWesnj4XwnQHryXbA==/7831821325545495.jpg,张杰是实力派不是偶像派[奸笑]
那些年我还相信的,http://p4.music.126.net/RHxr6iTdHdpYnEq_sOZezA==/109951166590240592.jpg,梁启超的词，许嵩的曲，张杰的声音，说一句天花板不过分吧
尔东菇凉,http://p4.music.126.net/U8-bc4YJDUzkrskDqc0-uA==/3241360279562122.jpg,毕业了。昨天吃散伙饭，班里的歌神唱起了这首歌，班里三十多个人就在这首最美的太阳里一起吃饭聊天敬酒打闹…我们就这样在最美的青春里散了场
今晚我在富士山下,http://p4.music.126.net/4S_fuguBrd6JmsjIWjqCbw==/109951166865279596.jpg,仙侠不是张杰的舒适区，是他的统治区
CH1NAzhi,http://p3.music.126.net/NJ8p5RN4PbwD2p4hwBI3-Q==/109951165870218315.jpg,祝各位查分都比平时高50分，也祝各位前程似锦，也祝我自己一战成硕
1_情绪低落,http://p3.music.126.net/BlZooS1udpuFfMnyxWMOaA==/109951168611483351.jpg,张杰：十年了，最佳儿歌奖终于不是我了
半眠学姐_POKC,http://p3.music.126.net/m5sIwXZqVxHmnwZkmHWnjA==/109951169045059566.jpg,1.《少年中国说》用作许多宣传2.《微笑着胜利》建军纪念歌曲、抗美援朝晚会3.《新征程》国家通讯社——新华社邀唱建党百年纪念歌曲4.《只要平凡》抗疫宣传5.《最美中国人》抗疫宣传6.《天耀中华》建国70周年晚会7.《向前冲》中国火箭军宣传8.《荣耀》中国式救援宣传9.《年轻人》抗美援朝宣传
朝华暮雨,http://p4.music.126.net/6iBnHEoVzf3jxUpCTWmkaA==/18898405858481394.jpg,千万别找张杰唱主题曲，没准你的游戏没火，结果歌曲火了~~~
星野real,http://p4.music.126.net/fFqXY0JDLtJwRnD_dyZlQA==/109951164761226353.jpg,高三的夜晚，偌大的操场躺在你怀里看月亮爬上来，一人一个耳机，你唱着唱着忽然头低下来的轻轻一吻，让我和女友争吵了很久……光阴荏苒，每次想到你的吻，都会禁不住脸红，这辈子最美的吻，最深的基情，都是你给的……
Rftpwlme,http://p4.music.126.net/YjuHsIiztc7_mVqutH365g==/109951162888417507.jpg,这首歌 如果一开始就免费，绝对出圈了
杨和苏KeyNG,http://p4.music.126.net/nyyrpR9nCXt2SH3Sp-fw2w==/109951168622202029.jpg,下一段旅程再见👋🏻
蘑蘑的B612星球,http://p3.music.126.net/Rs68h24ABWuWm1VMriC6zg==/109951169133887859.jpg,很多人都知道张杰的高音很赞，却不知这些听起来平平的小情歌早就缓缓地流进了心底。
he_wei_,http://p4.music.126.net/SUeqMM8HOIpHv9Nhl9qt9w==/109951165647004069.jpg,这首歌让我改变了对他的看法，觉得他唱功还不错，只是一直没有好的歌词和编曲，这是唯一喜欢他的一首歌
信守这个星愿,http://p4.music.126.net/xIJR2uGoQf2CNHRlI37dYg==/109951169142633695.jpg,“时间是让人猝不及防的东西  晴时有风阴有时雨” 
张杰,http://p4.music.126.net/z2HqHy_CXghF0ehV-CzL9g==/109951168234197887.jpg,杰么容易就分出来了？^_^
是迷人哦,http://p4.music.126.net/hts_hcUaZeVguND1nnTGuQ==/109951164986135926.jpg,张杰感冒也唱的像天籁
薛定谔的预警机,http://p4.music.126.net/CBkxGVg9JlpqLofQOusN1Q==/109951164439602007.jpg,各个版本都听过，最喜欢还是这个版本。张杰和靓颖的唱功无需多言，和杨幂的的版本不同的是，这个版本就像是一对情侣在抒发对美好爱情的向往，而杨幂的版本更容易使人带入到剧情中。总之杨幂的版本更适合做电视剧配乐，而张杰和靓颖的版本较杨幂的版本更加大气。最后给拿到的版权打call[呲牙]
帐号已注销,http://p4.music.126.net/bTIoFKFaE1-JQpgN3OynGg==/1986817511391283.jpg,人好少啊。这首歌这么好听。高中暗恋的女孩子自习课叫大家唱的。现在的你还好么？
请务必成为电爷,http://p3.music.126.net/Inu8-f9gfPI5LpUl7YcNKg==/109951168999762419.jpg,这个研究生我一定要读！！！！
_Nis_,http://p3.music.126.net/4j1tZMC-9N3BqYg-XclKQA==/109951169155807477.jpg,#喜提热评# 能说出来的，未必是太在意的;能写出来的，其实是可以放下的;存在心里的，才是欲罢不能挥之不去的。
张杰,http://p4.music.126.net/z2HqHy_CXghF0ehV-CzL9g==/109951168234197887.jpg,我不服……^_^
想看张杰演唱会了,http://p4.music.126.net/SYrBBxNsycqTkdufz0sujQ==/109951168991410281.jpg,战歌不是张杰的舒适区，是他的统治区！[色]
信守这个星愿,http://p3.music.126.net/xIJR2uGoQf2CNHRlI37dYg==/109951169142633695.jpg,“最渺小的我 有大大的梦”
脆皮小茴香,http://p3.music.126.net/HYIvj5eQslCpvpcqWWKY1w==/3235862721647136.jpg,跟逆战一起听的
马晨晨不是马沉沉,http://p4.music.126.net/tihUcpoIDWaJLl0XvFRq8Q==/109951163338743748.jpg,我觉得他是努力的，至少他是真正唱歌的人，喜欢
